rdeT1z,0.01
rdeT1x,0.004
rdeT1y,0.008
rdeT1d,0.007
rdeT1e,0.008
rdeT1p,0.005
rdeT1m,0.007
rdeT2x,0.026
rdeT2y,0.009
rdeT2z,0.01
rdeT2d,0.009
rdeT2e,0.011
rdeT2m,0.017
rdeT2p,0.008
rdeTp,0.007
rdeT3x,0.398
rdeT3y,0.453
rdeT4x,0.457
rdeT4y,0.366
feT1z,0.13
feT1x,0.13
feT1y,0.13
feT1d,0.13
feT1e,0.13
feT1p,0.13
feT1m,0.13
feT2x,0.133
feT2y,0.13
feT2z,0.13
feT2d,0.13
feT2e,0.13
feT2m,0.131
feT2p,0.13
feTp,0.13
feT3x,0.419
feT3y,0.472
feT4x,0.475
feT4y,0.388
reT1z,0.0427
reT1x,0.0425
reT1y,0.0425
reT1d,0.0426
reT1e,0.0425
reT1p,0.0425
reT1m,0.0425
reT2x,0.0349
reT2y,0.0318
reT2z,0.0401
reT2d,0.0373
reT2e,0.0389
reT2m,0.0338
reT2p,0.0378
reTp,0.0509
reT3x,0.1195
reT3y,0.1046
reT4x,0.1455
reT4y,0.1196
reak,0.0005
rea,0.0005
reb,0.001
rec,0.0003
rehc,0.0005
rerc,0.0012
rehd,0.0031
rerd,0.0008
T1z,3.053
T1x,3.058
T1y,3.061
T1d,3.06
T1e,3.064
T1p,3.063
T1m,3.064
T2x,3.8
T2y,4.102
T2z,3.255
T2d,3.492
T2e,3.358
T2m,3.878
T2p,3.446
Tp,2.557
T3x,3.506
T3y,4.506
T4x,3.266
T4y,3.247
ak,9.2
a,9.9
b,4.9
c,14.9
hc,9.6
rc,4.3
hd,1.6
rd,6.15
T1z**2,9.321
T1x**2,9.351
T1y**2,9.37
T1d**2,9.364
T1e**2,9.388
T1p**2,9.382
T1m**2,9.388
T2x**2,14.44
T2y**2,16.826
T2z**2,10.595
T2d**2,12.194
T2e**2,11.276
T2m**2,15.039
T2p**2,11.875
Tp**2,6.538
T3x**2,12.292
T3y**2,20.304
T4x**2,10.667
T4y**2,10.543
ak**2,84.64
a**2,98.01
b**2,24.01
c**2,222.01
hc**2,92.16
rc**2,18.49
hd**2,2.56
rd**2,37.823
form21,12.125
error21,0.6219
form22,11.203
error22,0.7708
form23,11.773
error23,0.6637
form24,14.91
error24,0.8386
form11,9.347
error11,0.4587
form12,9.982
error12,0.562
form13,9.973
error13,0.5617
form14,11.905
error14,0.5625
form31,2.661
error31,0.0042
form32,1.652
error32,0.525
form41,1.023
error41,0.0001
form42,0.988
error42,0.3721
ax1x,0.596
ax2x,0.356
ax2y,0.312
ax2z,0.496
ax3x,0.417
ax3y,0.27
ax4x,0.492
ax4y,0.5
