rdeT1z,0.01
rdeT1x,0.004
rdeT1y,0.008
rdeT1d,0.007
rdeT1e,0.008
rdeT1p,0.005
rdeT1m,0.007
rdeT2x,0.026
rdeT2y,0.009
rdeT2z,0.01
rdeT2d,0.009
rdeT2e,0.011
rdeT2m,0.017
rdeT2p,0.008
rdeTp,0.007
rdeT3x,0.024
rdeT3y,0.031
rdeT4x,0.014
rdeT4y,0.082
feT1z,0.13
feT1x,0.13
feT1y,0.13
feT1d,0.13
feT1e,0.13
feT1p,0.13
feT1m,0.13
feT2x,0.133
feT2y,0.13
feT2z,0.13
feT2d,0.13
feT2e,0.13
feT2m,0.131
feT2p,0.13
feTp,0.13
feT3x,0.132
feT3y,0.134
feT4x,0.131
feT4y,0.154
reT1z,0.0427
reT1x,0.0425
reT1y,0.0425
reT1d,0.0426
reT1e,0.0425
reT1p,0.0425
reT1m,0.0425
reT2x,0.0349
reT2y,0.0318
reT2z,0.0401
reT2d,0.0373
reT2e,0.0389
reT2m,0.0338
reT2p,0.0378
reTp,0.0509
reT3x,0.0347
reT3y,0.0332
reT4x,0.0377
reT4y,0.0504
T1z,3.053
T1x,3.058
T1y,3.061
T1d,3.06
T1e,3.064
T1p,3.063
T1m,3.064
T2x,3.8
T2y,4.102
T2z,3.255
T2d,3.492
T2e,3.358
T2m,3.878
T2p,3.446
Tp,2.557
T3x,3.806
T3y,4.026
T4x,3.466
T4y,3.047
ak,9.2
a,9.9
b,4.9
c,14.9
hц,9.6
rц,4.3
hд,1.6
rд,6.15
reak,0.0005
rea,0.0005
reb,0.001
rec,0.0003
rehц,0.0005
rerц,0.0012
rehд,0.0031
rerд,0.0008
